,m_db,sd_db,m_wb,sd_wb,m_delta,sd_delta,p5_db,p95_db,ac1_db,amp_db,amp_wb,h1_db,h1_wb
T21,19.962779988521607,7.748118245843829,15.745808377226062,5.729765855720939,4.216971611295547,2.686636168206255,7.997580051422119,32.693668365478516,0.9907929523460052,9.28095616598924,4.606378724177678,0.08025956472768271,0.09763874357070126
T27,19.57066571535995,7.596697602798624,16.064151071002936,5.76322560590103,3.5065146443570163,2.6055211339494893,7.823294162750244,32.21794509887695,0.9907077450179776,8.730432618657748,4.391675520936648,0.08152053729930747,0.09982801036031892
T30,19.982137835746318,7.9625915208554225,15.795011835176341,5.890961430696632,4.187126000569976,2.73688041924972,7.720230579376221,33.26844787597656,0.9895192208017901,9.980958151320616,5.093303836385409,0.07687284754081937,0.09547387999503536
T32,20.066156383466893,7.911707879690282,15.82563748008344,5.642110281158547,4.240518903383455,2.959459820499822,7.909191131591797,33.477813720703125,0.9904623796072707,9.692607474327087,4.804708538949489,0.07943264802131593,0.0936720705722492
T33,20.00325527774231,7.767428343224424,16.036536538524093,5.760236422804115,3.9667187392182144,2.7518631374954152,7.974054336547852,32.70877456665039,0.9905036101279519,9.168413140376408,4.529180621107419,0.0798357716461724,0.09714355738668091
T35,19.990130346798562,7.9062173228773025,16.197285534965516,5.84459906162694,3.792844811833044,2.832345640739189,7.706739902496338,33.154544830322266,0.9902418812074657,9.792490091919898,4.7206374098857244,0.07821500521847069,0.09745689948230947
T40,19.579816788917757,7.505256794982132,15.678340398067174,5.6432617669802365,3.9014763908505836,2.5316507990554706,7.8980841636657715,31.974348068237305,0.9908718417546932,8.853634015719097,4.464024911324183,0.08129123595714423,0.09968501378240074
T41,19.942578328691944,7.852821361499972,15.874728215403142,5.8068974146761745,4.067850113288801,2.7017827894183726,7.841771602630615,33.094112396240234,0.9898919777797333,9.356358045339585,4.768919992446899,0.07843908694098597,0.09808031585390639
T43,19.892788254328046,7.576054460118049,16.011008654419832,5.715810348583126,3.881779599908212,2.588495667364555,8.176202774047852,32.17786407470703,0.9921255652044049,7.936507679025332,4.059116399288177,0.08463220023949775,0.10189215132558202
T51,19.53140815115,7.716030065138237,15.735044686018933,5.774530133148828,3.7963634651310665,2.629042324904836,7.618200778961182,32.4770622253418,0.9907171571431753,9.311394715805848,4.7686933934688565,0.08015801742711641,0.0986452208400985
T57,19.724386683076833,7.8356686567858365,15.915911955942242,5.830393164716787,3.8084747271345916,2.754797477417696,7.586911678314209,32.945438385009766,0.9892142078830822,9.69148534933726,4.957807612419129,0.0764205505528112,0.0955486958078756
T59,19.725779021166275,7.7348365599733535,15.9856747376381,5.763372803655621,3.7401042835281775,2.743691847514454,7.664671421051025,32.810585021972656,0.9896514114548838,9.337565022706986,4.714510983725389,0.07684485680058699,0.09608040258024156
T65,19.90734796394477,7.956513504005109,16.063878776843985,5.766712761978461,3.8434691871007836,2.985485308850752,7.640377521514893,33.363624572753906,0.9896171227596579,9.813962864875794,4.646206729610761,0.07699695265680483,0.09590619114016546
T66,19.878093915416727,7.957033114374208,15.490031369740363,5.650596957232004,4.388062545676365,2.980990224238999,7.591851711273193,33.27440643310547,0.989233662320112,10.303889158368111,4.990757138530413,0.07538454363733715,0.09107976037342987
T67,19.339683524512846,7.5791888509949175,15.588014749674157,5.736902366889203,3.751668774838689,2.553042515083055,7.560335159301758,31.947906494140625,0.9900066149631136,9.550932058195274,5.034895977377891,0.07769042190425281,0.09436007559133099
T71,19.63567355015078,7.475499907503371,15.915422971770647,5.623551420634368,3.7202505783801336,2.624460872350324,8.067212104797363,31.98795509338379,0.9915631321596043,8.463014667232832,4.106306878725688,0.0836031158306068,0.10035161856948235
T73,20.226017912886448,7.7852210397089046,15.934427065459762,5.666149728492787,4.2915908474266855,2.824933263116656,8.203845024108887,33.10184860229492,0.9905421669684856,9.200074239571888,4.381054566303889,0.07893603043632474,0.09793789555662395
T74,19.793070074864495,7.674462015116432,15.544446558969774,5.646030949726939,4.24862351589472,2.699529697501427,7.970220565795898,32.58243942260742,0.9910050531905559,8.918193865815798,4.443288123607635,0.08108016188707695,0.09787079558057006
T75,20.279946617913193,7.773739132001648,15.969039011865393,5.761605742600322,4.3109076060478,2.6804489636972413,8.179959297180176,33.027565002441406,0.9907037814548637,8.865084313352902,4.483722168207168,0.07931190598702868,0.09769292910721537
T76,19.943172075797865,7.794319495906632,16.170807705380696,5.716702620849031,3.772364370417167,2.9047973781259806,8.077594757080078,33.21235275268555,0.9900718322043542,9.600544474522273,4.458312098185221,0.07774022660059329,0.09817528193363177
T8,19.437186405854323,7.6331323037752785,16.025969489238296,5.712590160450388,3.411216916616028,2.7012902188523915,7.578718662261963,31.974634170532227,0.9898815981064476,9.199754631519317,4.555750716725985,0.07776779435411557,0.09510749769631842
T80,19.59284846563826,7.651110802899278,15.877209880048442,5.787984075020402,3.715638585589817,2.600613718711149,7.717079162597656,32.29633712768555,0.9897768123875121,9.733534174164136,4.893189021945,0.07746145399927518,0.09772194799920955
T88,19.744156616403966,7.31289657085616,15.924000492247114,5.612553512089023,3.8201561241568514,2.4454591662244547,8.179889678955078,31.314315795898438,0.9916794379457542,8.095631555716198,4.184993282953898,0.08349331854414041,0.1007898583305041
T90,19.4060410253056,7.619895016007336,15.537865263891229,5.634410052428466,3.8681757614143715,2.6774359595909467,7.621679306030273,32.283329010009766,0.9892100093566978,9.116359522938728,4.5858042140801745,0.07598829847048143,0.09460971797998963
T93,19.674887470865972,7.726470346645824,15.86500380845295,5.737254974730423,3.8098836624130223,2.7234746305915043,7.876119136810303,32.60307312011719,0.9905745131999448,9.588359283407529,4.65509417951107,0.07936002132540437,0.09886873202048924
T95,19.90902297327772,7.780929802473007,15.801403591429766,5.68984717478762,4.1076193818479565,2.8108212205996255,7.971706390380859,33.17942428588867,0.9896138006582086,9.366604069868723,4.73546505967776,0.07708287485213015,0.09607155045431587
T96,19.860418361355837,7.825001051446528,15.863900127819536,5.73570531473341,3.9965182335363036,2.765817907531165,7.937947750091553,33.150447845458984,0.9903452109496412,9.352018425861994,4.668739445010821,0.08091688822926152,0.09936135842837347
T97,20.015139104763072,7.396728187703764,15.821180213641838,5.596210798618063,4.193958891121234,2.5246466937161554,8.61769962310791,32.16305923461914,0.9924118185724976,8.305730442206064,4.0365816732247675,0.08618234985879475,0.10330255093933442
T99,19.97830872123737,7.6885944113332885,15.825445608900848,5.692814280412682,4.1528631123365205,2.7700171676357397,8.133753776550293,32.79819869995117,0.9910593024137602,8.789745102326075,4.490051771203677,0.08114611408564015,0.09692767300109027
